, Mon-Fri , Mon-Fri , Mon-Sat , Mon-Fri , Mon-Fri , Mon-Fri , Sat 
,7am-8am,8am-10am,"9am-11am, 10am-12pm, 11am-1pm, 12pm-2pm, 1pm-3pm, 2pm-4pm",7am-8am,"8am-10am,","9am-11am, 10am-12pm, 11am-1pm, 12pm-2pm, 1pm-3pm, 2pm-4pm","9am-11am, 10am-12pm, 11am-1pm, 12pm-2pm, 1pm-3pm, 2pm-4pm"
, Sugar Bliss Price using LS , Sugar Bliss Price using LS , Sugar Bliss Price using LS , Sugar Bliss Price using USM , Sugar Bliss Price using USM , Sugar Bliss Price using USM , Sugar Bliss Price using USM 
60601,$48.00,$26.00,$19.00,$55.00,$25.00,$25.00,$35.00
60602,$48.00,$26.00,$19.00,$54.00,$24.00,$24.00,$34.00
60603,$48.00,$26.00,$19.00,$54.00,$24.00,$24.00,$35.00
60604,$48.00,$26.00,$19.00,$54.00,$24.00,$24.00,$35.00
60605,$48.00,$26.00,$19.00,$56.00,$26.00,$26.00,$37.00
60606,$48.00,$26.00,$19.00,$55.00,$25.00,$25.00,$36.00
60654,$48.00,$26.00,$19.00,$55.00,$25.00,$25.00,$36.00
60661,$48.00,$26.00,$19.00,$55.00,$25.00,$25.00,$36.00
60668,$48.00,$26.00,$19.00,$54.00,$24.00,$24.00,$35.00
60670,$48.00,$26.00,$19.00,$55.00,$25.00,$25.00,$36.00
60673,$48.00,$26.00,$19.00,$55.00,$25.00,$25.00,$36.00
60674,$48.00,$26.00,$19.00,$54.00,$24.00,$24.00,$35.00
60675,$48.00,$26.00,$19.00,$55.00,$25.00,$25.00,$36.00
60677,$48.00,$26.00,$19.00,$55.00,$25.00,$25.00,$36.00
60678,$48.00,$26.00,$19.00,$55.00,$25.00,$25.00,$36.00
60680,$48.00,$26.00,$19.00,$55.00,$25.00,$25.00,$36.00
60681,$48.00,$26.00,$19.00,$55.00,$25.00,$25.00,$36.00
60684,$48.00,$26.00,$19.00,$55.00,$25.00,$25.00,$36.00
60685,$48.00,$26.00,$19.00,$55.00,$25.00,$25.00,$36.00
60687,$48.00,$26.00,$19.00,$55.00,$25.00,$25.00,$36.00
60690,$48.00,$26.00,$19.00,$54.00,$24.00,$24.00,$35.00
60691,$48.00,$26.00,$19.00,$54.00,$24.00,$24.00,$35.00
60693,$48.00,$26.00,$19.00,$55.00,$25.00,$25.00,$36.00
60694,$48.00,$26.00,$19.00,$55.00,$25.00,$25.00,$36.00
60697,$48.00,$26.00,$19.00,$55.00,$25.00,$25.00,$36.00